,RMS,P2P,Mean,Variance,gamma,C
0,0.7356495468277946,0.7356495468277946,0.7356495468277946,0.6555891238670695,0.1,10
1,0.8821752265861027,0.8821752265861027,0.8821752265861027,0.7809667673716012,1.0,10
2,0.9290030211480362,0.9290030211480362,0.9290030211480362,0.8761329305135952,10.0,10
3,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.8942598187311178,100.0,10
4,0.7386706948640483,0.7386706948640483,0.7386706948640483,0.7794561933534743,0.1,100
5,0.8912386706948641,0.8912386706948641,0.8912386706948641,0.7900302114803626,1.0,100
6,0.9305135951661632,0.9305135951661632,0.9305135951661632,0.8836858006042296,10.0,100
7,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.8897280966767371,100.0,100
8,0.7462235649546828,0.7462235649546828,0.7462235649546828,0.7779456193353474,0.1,1000
9,0.9169184290030211,0.9169184290030211,0.9169184290030211,0.877643504531722,1.0,1000
10,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.8882175226586103,10.0,1000
11,0.9380664652567976,0.9380664652567976,0.9380664652567976,0.8851963746223565,100.0,1000
12,0.8640483383685801,0.8640483383685801,0.8640483383685801,0.7824773413897281,0.1,10000
13,0.9259818731117825,0.9259818731117825,0.9259818731117825,0.8867069486404834,1.0,10000
14,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.8882175226586103,10.0,10000
15,0.9410876132930514,0.9410876132930514,0.9410876132930514,0.9003021148036254,100.0,10000
16,0.8912386706948641,0.8912386706948641,0.8912386706948641,0.7990936555891238,0.1,100000
17,0.9290030211480362,0.9290030211480362,0.9290030211480362,0.8912386706948641,1.0,100000
18,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.8897280966767371,10.0,100000
19,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.9003021148036254,100.0,100000
20,0.9199395770392749,0.9199395770392749,0.9199395770392749,0.8700906344410876,0.1,1000000
21,0.9305135951661632,0.9305135951661632,0.9305135951661632,0.8897280966767371,1.0,1000000
22,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.8821752265861027,10.0,1000000
23,0.9365558912386707,0.9365558912386707,0.9365558912386707,0.9018126888217523,100.0,1000000
24,0.9108761329305136,0.9108761329305136,0.9108761329305136,0.8308157099697885,0.1,10000000
25,0.9259818731117825,0.9259818731117825,0.9259818731117825,0.8867069486404834,1.0,10000000
26,0.9350453172205438,0.9350453172205438,0.9350453172205438,0.8836858006042296,10.0,10000000
27,0.9244712990936556,0.9244712990936556,0.9244712990936556,0.8987915407854985,100.0,10000000
